Exact age,Death probability,Number of lives,Life expectancy,Death probability,Number of lives,Life expectancy
0,0.006081,100000,76.23,0.005046,100000,81.28
1,0.000425,99392,75.69,0.000349,99495,80.69
2,0.00026,99350,74.73,0.000212,99461,79.72
3,0.000194,99324,73.75,0.000166,99440,78.74
4,0.000154,99305,72.76,0.000137,99423,77.75
5,0.000142,99289,71.77,0.000122,99409,76.76
6,0.000135,99275,70.78,0.000111,99397,75.77
7,0.000127,99262,69.79,0.000103,99386,74.78
8,0.000117,99249,68.8,0.000098,99376,73.79
9,0.000104,99238,67.81,0.000095,99366,72.79
10,0.000097,99227,66.81,0.000096,99357,71.8
11,0.000106,99218,65.82,0.000102,99347,70.81
12,0.000145,99207,64.83,0.000116,99337,69.81
13,0.00022,99193,63.84,0.000139,99326,68.82
14,0.000324,99171,62.85,0.00017,99312,67.83
15,0.000437,99139,61.87,0.000204,99295,66.84
16,0.000552,99096,60.9,0.00024,99275,65.86
17,0.000676,99041,59.93,0.000278,99251,64.87
18,0.000806,98974,58.97,0.000319,99223,63.89
19,0.000939,98894,58.02,0.00036,99192,62.91
20,0.001079,98801,57.07,0.000405,99156,61.93
21,0.001215,98695,56.13,0.000451,99116,60.96
22,0.001327,98575,55.2,0.000491,99071,59.99
23,0.001406,98444,54.27,0.000523,99022,59.02
24,0.001461,98306,53.35,0.00055,98971,58.05
25,0.001508,98162,52.43,0.000575,98916,57.08
26,0.001559,98014,51.51,0.000605,98859,56.11
27,0.001612,97861,50.58,0.000642,98800,55.14
28,0.001671,97703,49.67,0.000691,98736,54.18
29,0.001734,97540,48.75,0.000749,98668,53.22
30,0.001798,97371,47.83,0.000811,98594,52.26
31,0.00186,97196,46.92,0.000872,98514,51.3
32,0.001926,97015,46,0.000933,98428,50.34
33,0.001994,96828,45.09,0.00099,98336,49.39
34,0.002067,96635,44.18,0.001046,98239,48.44
35,0.002147,96435,43.27,0.001107,98136,47.49
36,0.002233,96228,42.36,0.001172,98028,46.54
37,0.002318,96013,41.46,0.001236,97913,45.59
38,0.002399,95791,40.55,0.001296,97792,44.65
39,0.002483,95561,39.65,0.001356,97665,43.71
40,0.002581,95324,38.75,0.001423,97532,42.76
